,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
3223,Nakhodka,67.7504,77.52,Russia,258.08,80.0,91.0,2.4
26297,Chernyshevskiy,63.0128,112.4714,Russia,239.35,86.0,100.0,1.55
19981,Tanaina,61.656,-149.4272,United States,264.23,79.0,90.0,0.47
13276,Riihimäki,60.7333,24.7667,Finland,259.58,85.0,0.0,2.57
2244,Bergen,60.3925,5.3233,Norway,267.39,80.0,75.0,1.54
2570,Vantaa,60.3,25.0333,Finland,259.91,85.0,0.0,2.57
11388,Lohja,60.25,24.0667,Finland,258.71,89.0,43.0,1.79
127,Saint Petersburg,59.95,30.3167,Russia,259.46,85.0,20.0,3.0
12311,Sokol,59.4667,40.1167,Russia,257.72,95.0,78.0,2.57
12987,Kudymkar,59.0167,54.6667,Russia,266.27,98.0,95.0,3.02
9667,Norrköping,58.5954,16.1787,Sweden,258.59,85.0,0.0,2.06
13517,Kushva,58.2833,59.7333,Russia,263.74,97.0,86.0,1.26
21289,Neya,58.2833,43.8667,Russia,260.14,96.0,96.0,1.28
10570,Lysva,58.1086,57.8053,Russia,265.55,97.0,92.0,1.79
20375,Buckie,57.676,-2.965,United Kingdom,275.55,81.0,75.0,10.29
6589,Elgin,57.65,-3.315,United Kingdom,273.67,93.0,90.0,6.17
13072,Artëmovskiy,57.3667,61.8667,Russia,267.4,98.0,98.0,2.33
7405,Cēsis,57.3131,25.2747,Latvia,263.44,91.0,86.0,0.89
8621,Cesvaine,56.9683,26.3067,Latvia,260.9,96.0,71.0,2.61
3897,Pervouralsk,56.9167,59.95,Russia,266.15,93.0,20.0,2.0
8671,Pāvilosta,56.8878,21.1842,Latvia,264.39,92.0,75.0,0.51
5785,Kalmar,56.6694,16.3218,Sweden,264.77,92.0,49.0,2.06
14529,Arbroath,56.561,-2.586,United Kingdom,276.66,93.0,75.0,11.32
11091,Solnechnogorsk,56.1844,36.995,Russia,266.15,86.0,90.0,5.0
9448,Rucava,56.164,21.1627,Latvia,261.64,85.0,75.0,1.03
1750,Vladimir,56.1333,40.4167,Russia,266.49,98.0,100.0,4.89
14368,Tayga,56.0667,85.6167,Russia,262.15,85.0,75.0,5.0
4405,Pushkino,56.0167,37.85,Russia,266.15,86.0,90.0,5.0
2323,Khimki,55.8892,37.445,Russia,266.15,86.0,90.0,5.0
15390,Sergach,55.5333,45.4667,Russia,273.41,97.0,100.0,2.43
18921,Southwick,54.9193,-1.4062,United Kingdom,276.45,56.0,20.0,5.66
19366,Sorsk,54.0,90.25,Russia,259.23,90.0,100.0,1.95
7590,Brierfield,53.824,-2.235,United Kingdom,277.99,89.0,100.0,2.24
7049,Clayton,53.782,-1.8135,United Kingdom,285.12,28.0,90.0,3.09
7544,Royston,53.61,-1.45,United Kingdom,280.74,98.0,100.0,1.34
21748,Edson,53.5817,-116.4344,Canada,268.15,80.0,90.0,4.63
24837,Dunboyne,53.4199,-6.4751,Ireland,279.83,87.0,75.0,4.63
11342,Otradnyy,53.3667,51.35,Russia,274.3,97.0,100.0,4.61
11895,Eberswalde,52.8331,13.8331,Germany,273.53,84.0,88.0,0.89
4595,Kettering,52.3931,-0.7229,United Kingdom,275.33,56.0,90.0,6.17
22256,Stony Stratford,52.0567,-0.8526,United Kingdom,280.58,94.0,100.0,0.45
