,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
11999,Amursk,50.2167,136.9,Russia,243.48,86.0,29.0,2.33
10570,Lysva,58.1086,57.8053,Russia,265.55,97.0,92.0,1.79
16222,Bad Säckingen,47.5533,7.9472,Germany,280.66,91.0,100.0,1.14
23499,Lovejoy,33.4426,-84.3176,United States,285.44,30.0,1.0,3.6
1393,Port Sudan,19.6158,37.2164,Sudan,297.47,59.0,80.0,7.8
4911,Cannes,43.5513,7.0128,France,284.53,87.0,75.0,1.03
13101,Thung Song,8.1645,99.6804,Thailand,295.26,92.0,99.0,1.99
304,Longba,33.535,105.349,China,274.21,75.0,34.0,1.4
25807,Deerfield,42.522,-72.6097,United States,273.78,93.0,90.0,6.17
24908,Sennwald,47.2439,9.4768,Switzerland,277.17,84.0,100.0,2.52
8516,Škofja Loka,46.1655,14.3064,Slovenia,280.64,93.0,75.0,2.57
2191,Djelfa,34.6667,3.25,Algeria,285.23,41.0,8.0,9.15
17688,Chalfont Saint Peter,51.607,-0.556,United Kingdom,281.12,100.0,75.0,3.6
1750,Vladimir,56.1333,40.4167,Russia,266.49,98.0,100.0,4.89
14763,Johnston,41.6857,-93.7173,United States,283.8,25.0,1.0,2.06
11856,Shakopee,44.7744,-93.4764,United States,266.15,68.0,20.0,8.75
11388,Lohja,60.25,24.0667,Finland,258.71,89.0,43.0,1.79
12107,Moses Lake,47.128,-119.2761,United States,279.73,49.0,1.0,4.12
8671,Pāvilosta,56.8878,21.1842,Latvia,264.39,92.0,75.0,0.51
15164,Günzburg,48.4525,10.2711,Germany,278.79,84.0,100.0,2.32
16837,Breaza,45.1872,25.6622,Romania,277.59,98.0,15.0,15.2
2570,Vantaa,60.3,25.0333,Finland,259.91,85.0,0.0,2.57
6589,Elgin,57.65,-3.315,United Kingdom,273.67,93.0,90.0,6.17
7370,Peshkopi,41.6831,20.4289,Albania,281.71,93.0,0.0,1.03
14530,Zion,42.4598,-87.8509,United States,273.63,86.0,90.0,4.63
15276,Hailsham,50.8647,0.2577,United Kingdom,281.71,92.0,71.0,0.45
25037,Findlay,40.4782,-80.2811,United States,273.75,60.0,75.0,6.17
10704,Mikhaylovka,50.0667,43.2333,Russia,280.44,93.0,100.0,5.97
3973,Arvada,39.8321,-105.1511,United States,276.63,22.0,40.0,9.77
22414,Neufchâteau,49.8411,5.4353,Belgium,281.15,87.0,90.0,2.57
16061,Kilgore,32.3979,-94.8603,United States,295.89,53.0,75.0,5.66
22056,Kennedy,40.4767,-80.1028,United States,284.9,47.0,1.0,2.06
7405,Cēsis,57.3131,25.2747,Latvia,263.44,91.0,86.0,0.89
1130,Wuxue,29.8518,115.5539,China,282.47,92.0,100.0,0.52
3223,Nakhodka,67.7504,77.52,Russia,258.08,80.0,91.0,2.4
21739,North Londonderry,40.3227,-76.5867,United States,274.66,55.0,75.0,5.66
18167,Azle,32.8955,-97.5379,United States,288.54,39.0,40.0,8.23
11501,Chippenham,51.4585,-2.1158,United Kingdom,281.08,98.0,63.0,2.95
8539,Ravne na Koroškem,46.5437,14.9642,Slovenia,277.57,93.0,100.0,0.99
23936,Irvington,41.0349,-73.8661,United States,278.92,42.0,1.0,6.69
15617,Burghausen,48.1667,12.8333,Germany,278.97,88.0,100.0,0.89
25408,Turpin Hills,39.1063,-84.3703,United States,276.0,56.0,90.0,4.63
5314,La Mesa,32.7703,-117.0204,United States,289.64,59.0,40.0,3.78
22256,Stony Stratford,52.0567,-0.8526,United Kingdom,280.58,94.0,100.0,0.45
6997,Senta,45.9231,20.0731,Serbia,281.17,68.0,24.0,0.94
438,Mecca,21.4225,39.8261,Saudi Arabia,295.59,80.0,43.0,3.45
4595,Kettering,52.3931,-0.7229,United Kingdom,275.33,56.0,90.0,6.17
4417,Kandhkot,28.4,69.3,Pakistan,285.15,71.0,0.0,2.72
5273,Malden,42.4305,-71.0576,United States,275.64,60.0,75.0,5.14
13276,Riihimäki,60.7333,24.7667,Finland,259.58,85.0,0.0,2.57
7271,Arbon,47.5167,9.4333,Switzerland,279.31,93.0,75.0,1.54
21939,Thomson,33.4666,-82.4992,United States,286.17,21.0,1.0,4.12
