,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
3418,Chingola,-12.5447,27.8708,Zambia,290.27,94.0,50.0,1.21
10490,Oudtshoorn,-33.5833,22.2,South Africa,292.15,94.0,40.0,1.03
20965,Moss Vale,-34.5483,150.3678,Australia,293.73,100.0,0.0,3.1
12887,Yaguarón,-25.5621,-57.284,Paraguay,302.15,51.0,40.0,7.72
3252,Calama,-22.4624,-68.9272,Chile,299.15,17.0,0.0,12.35
23800,Nova Aliança,-21.0158,-49.4958,Brazil,301.15,61.0,75.0,1.54
16767,Collipulli,-37.96,-72.43,Chile,313.15,9.0,0.0,4.12
21986,Ngaruawahia,-37.668,175.147,New Zealand,290.93,60.0,87.0,1.34
18142,Luís Antônio,-21.555,-47.7044,Brazil,305.51,45.0,40.0,4.12
25984,Trancas,-26.2167,-65.2833,Argentina,296.35,64.0,88.0,2.16
12224,Lampa,-33.2864,-70.8729,Chile,304.26,29.0,0.0,7.2
5196,Nkhotakota,-12.9163,34.3,Malawi,297.55,75.0,100.0,2.39
543,Guarulhos,-23.4667,-46.5333,Brazil,304.0,51.0,20.0,5.14
431,Lusaka,-15.4167,28.2833,Zambia,292.05,88.0,88.0,2.22
4746,Concepción,-23.4025,-57.4414,Paraguay,289.15,88.0,90.0,7.2
14816,Bacchus Marsh,-37.675,144.4389,Australia,294.67,79.0,97.0,0.89
5278,Uíge,-7.62,15.05,Angola,293.39,92.0,71.0,0.35
2849,Iquique,-20.2141,-70.1524,Chile,297.15,57.0,0.0,5.66
1690,Christchurch,-43.5309,172.6365,New Zealand,286.22,66.0,90.0,2.06
18931,Swan Hill,-35.3333,143.55,Australia,296.63,74.0,37.0,8.38
5744,Russas,-4.9403,-37.9758,Brazil,301.77,60.0,93.0,5.28
25005,Taiuva,-21.1239,-48.4519,Brazil,298.81,85.0,100.0,1.69
16968,Puquio,-14.6939,-74.1241,Peru,287.87,63.0,96.0,4.74
26298,Villa del Rosario,-24.4196,-57.1,Paraguay,304.15,51.0,40.0,5.66
1878,Sukabumi,-6.9197,106.9272,Indonesia,298.71,98.0,100.0,1.3
26430,Besalampy,-16.7495,44.4833,Madagascar,298.24,91.0,100.0,2.76
14544,Veinticinco de Mayo,-35.4167,-60.1667,Argentina,301.48,65.0,0.0,1.34
23393,Roma,-26.5733,148.7869,Australia,274.12,55.0,1.0,4.63
15520,Pradópolis,-21.3594,-48.0656,Brazil,305.15,45.0,40.0,4.12
1304,Ndola,-12.9683,28.6337,Zambia,293.71,85.0,99.0,1.34
3381,Patos de Minas,-18.5871,-46.5149,Brazil,300.37,68.0,88.0,0.7
8608,Kirakira,-10.4544,161.9205,Solomon Islands,299.78,82.0,100.0,4.26
2829,Potosí,-19.5833,-65.75,Bolivia,285.77,62.0,21.0,4.25
13316,Viacha,-16.6333,-68.2833,Bolivia,287.15,51.0,75.0,2.57
840,Natal,-6.9838,-60.2699,Brazil,302.15,61.0,20.0,7.2
755,Wellington,-41.2889,174.7772,New Zealand,286.61,72.0,90.0,9.26
13399,Naranjito,-2.1667,-79.4653,Ecuador,300.62,78.0,75.0,2.57
15772,Port Alfred,-33.6,26.8833,South Africa,292.59,85.0,4.0,1.79
9681,São João da Boa Vista,-21.9689,-46.7978,Brazil,298.15,73.0,0.0,1.47
5975,Karonga,-9.9329,33.9333,Malawi,297.36,76.0,91.0,2.09
20068,Cajobi,-20.88,-48.8089,Brazil,301.15,61.0,75.0,1.54
9638,Votuporanga,-20.4228,-49.9728,Brazil,301.99,68.0,100.0,2.95
20517,Tweed Heads,-28.1833,153.55,Australia,294.39,88.0,40.0,1.54
25903,Baltasar Brum,-30.73,-57.32,Uruguay,298.35,56.0,0.0,7.38
8269,Puerto Baquerizo Moreno,-0.9025,-89.6092,Ecuador,302.15,79.0,20.0,6.17
9293,Safotu,-13.4513,-172.4018,Samoa,299.15,94.0,75.0,1.54
11651,Nabire,-3.3515,135.5134,Indonesia,297.5,86.0,100.0,1.12
12144,Dubbo,-32.2569,148.6011,Australia,294.15,73.0,90.0,4.12
25873,La Paz,-33.4661,-67.55,Argentina,287.15,51.0,75.0,2.57
1409,Juiz de Fora,-21.7642,-43.3503,Brazil,299.15,65.0,75.0,3.6
6692,Lambaréné,-0.6883,10.2319,Gabon,298.92,86.0,100.0,0.32
13864,Karoi,-16.8196,29.68,Zimbabwe,292.09,94.0,99.0,1.45
12573,Biharamulo,-2.6296,31.31,Tanzania,289.93,93.0,79.0,1.48
8885,Bukomansimbi,-0.1578,31.6042,Uganda,292.44,80.0,15.0,3.64
11010,Olímpia,-20.7369,-48.915,Brazil,301.15,61.0,75.0,1.54
9009,Sembabule,-0.0772,31.4567,Uganda,291.75,87.0,46.0,3.23
17403,Warragul,-38.15,145.9333,Australia,292.04,92.0,80.0,0.89
11032,Mercedes,-34.65,-59.4333,Argentina,300.74,43.0,0.0,2.68
732,Pretoria,-25.7464,28.1881,South Africa,292.37,94.0,100.0,1.54
3666,Tauranga,-37.6858,176.1667,New Zealand,291.65,59.0,66.0,2.24
5946,Cristalina,-16.7677,-47.6153,Brazil,295.15,90.0,52.0,2.32
26378,Mejillones,-23.1,-70.45,Chile,294.15,68.0,20.0,6.69
21913,Pereiras,-23.0761,-47.9758,Brazil,306.15,49.0,40.0,4.12
11662,Sambava,-14.2662,50.1666,Madagascar,298.17,89.0,72.0,3.34
4484,Talara,-4.5833,-81.2667,Peru,301.15,57.0,75.0,5.66
6590,Itaberaí,-16.02,-49.81,Brazil,298.32,88.0,96.0,1.61
4909,Cachoeira do Sul,-30.03,-52.91,Brazil,296.04,77.0,1.0,3.91
1766,Corrientes,-27.4833,-58.8167,Argentina,301.04,50.0,75.0,9.26
269,Salvador,-12.9708,-38.5108,Brazil,302.13,39.0,0.0,3.6
22430,Bilac,-21.4033,-50.4706,Brazil,301.85,72.0,54.0,4.07
5329,Crateús,-5.1783,-40.6775,Brazil,303.59,41.0,97.0,0.55
8663,Lyantonde,-0.4031,31.1572,Uganda,292.15,81.0,40.0,1.65
15819,Puerto Natales,-51.7263,-72.5062,Chile,295.15,35.0,20.0,11.83
7692,Nueva Palmira,-33.87,-58.408,Uruguay,301.15,32.0,0.0,4.12
9916,Huaral,-11.5,-77.2167,Peru,298.15,65.0,0.0,2.57
23025,Kerikeri,-35.2244,173.9514,New Zealand,294.82,75.0,17.0,1.34
3782,Mansa,-11.1822,28.8833,Zambia,281.8,92.0,0.0,2.24
11221,Ifakara,-8.1296,36.68,Tanzania,297.25,76.0,82.0,1.06
1881,Itajaí,-26.8996,-48.68,Brazil,300.15,83.0,75.0,2.06
25164,Sabino,-21.46,-49.5778,Brazil,302.42,73.0,96.0,2.11
12744,Canavieiras,-15.675,-38.9472,Brazil,302.15,74.0,20.0,3.6
1968,Blumenau,-26.9189,-49.0658,Brazil,304.26,59.0,21.0,0.89
5099,Caçador,-26.7753,-51.015,Brazil,293.53,68.0,37.0,2.6
5089,Villa Domínico,-34.6917,-58.3333,Argentina,302.03,100.0,0.0,3.6
17859,Maracaí,-22.6106,-50.6672,Brazil,301.12,79.0,100.0,2.36
24652,Palmwoods,-26.6883,152.9597,Australia,293.86,96.0,75.0,0.83
10720,San Pedro,-24.2196,-64.87,Argentina,298.63,73.0,20.0,1.03
20530,Glencoe,-46.192,168.646,New Zealand,290.37,96.0,100.0,1.22
12128,Bukama,-9.2,25.8333,Congo (Kinshasa),294.64,86.0,80.0,0.31
22347,Collie,-33.363,116.156,Australia,285.37,68.0,0.0,0.45
1580,Arusha,-3.3667,36.6833,Tanzania,292.15,72.0,0.0,1.37
16849,Horqueta,-23.3396,-57.05,Paraguay,300.6,64.0,69.0,3.58
10314,Soio,-6.1296,12.37,Angola,300.18,84.0,100.0,3.48
9636,Mogi Mirim,-22.4319,-46.9578,Brazil,304.82,49.0,40.0,4.12
26017,Wilcannia,-31.565,143.3678,Australia,299.27,64.0,0.0,9.56
14921,Trinidad,-33.5333,-56.8833,Uruguay,302.15,70.0,75.0,4.63
25163,Byron Bay,-28.6483,153.6178,Australia,291.07,100.0,73.0,1.46
19490,Capilla del Monte,-30.85,-64.5167,Argentina,300.11,38.0,20.0,4.63
7771,Tocantinópolis,-6.3196,-47.42,Brazil,301.22,79.0,80.0,0.66
8033,Gleno,-8.7239,125.4361,Timor-Leste,294.4,88.0,100.0,2.34
11527,Aliwal North,-30.7,26.7,South Africa,293.46,72.0,2.0,3.2
794,Mbabane,-26.3167,31.1333,Swaziland,294.15,100.0,98.0,1.54
312,Brisbane,-27.4678,153.0281,Australia,293.98,88.0,40.0,2.57
5739,Jaguaquara,-13.53,-39.97,Brazil,294.86,94.0,71.0,3.21
4386,Raba,-8.4614,118.747,Indonesia,287.45,88.0,0.0,1.54
6484,Pimenta Bueno,-11.64,-61.21,Brazil,303.87,74.0,98.0,1.39
